Id;Costes (€);Inicio Real;Descripción;Nombre Centro;Tipo Trabajo;Equipo;Desc. Equipo;Desc. Estado;Urgencia;Especialidad;Contratista;Personal;Sector;Familia;Fecha cierre;Factura;Estado;Contrato;CCAA;Centro de Servicio;Fecha Planificada;Tipo de Trabajo
16407,000000000000000000;217,89000000000000000000000000;2025-05-15;Cisternas WC 1r piso;HOSPITALET DEL LLOBREGAT;COR;205FON;Fontaneria;Facturada;Urgente;Sin Asignar;NWC;0;BE0806;FON;2025-06-11;F25_318;90;52;Cataluña;205;2025-05-15;COR
16405,000000000000000000;2875,000000000000000000;2025-05-15;Va36 Se solicita asistencia de Urgencia, la puerta del parking no baja,;OFICINAS VIA AUGUSTA 36;COR;150SO1OBC;Obra Civil;Facturada;Urgente;ACCESOS Y PUERTAS AUTOMATICAS;NWC;0;A0VA36;OBC;2025-08-26;F25_421;90;52;Cataluña;150;2025-05-15;COR
16402,000000000000000000;0;2025-05-15;calidad del aire de piscina RD 742/2013 (MAÑANA);HOSPITAL DE COSLADA;H001PREVL;PIVAS;VASO;Validada Gestor;No Urgente;Sin Asignar;H001-FUL;H001_FULAS;H001;H001PIVAS;2025-05-16;;80;41;Comunidad de Madrid;H001;2025-05-15;H001PREVL
16397,000000000000000000;0;2025-05-15;calidad del agua de piscina RD 742/2013 (DIA);HOSPITAL DE COSLADA;H001PREVL;PIVAS;VASO;Validada Gestor;No Urgente;Sin Asignar;H001-FUL;H001_FULAS;H001;H001PIVAS;2025-05-16;;80;41;Comunidad de Madrid;H001;2025-05-15;H001PREVL
16396,000000000000000000;0;2025-05-15;lectura contadores de agua;HOSPITAL DE COSLADA;H001PRED;EMCOA;CONTADORES DE AGUA;Validada Gestor;No Urgente;Sin Asignar;H001-FUL;H001_FULAS;H001;H001EMCOA;2025-05-16;;80;41;Comunidad de Madrid;H001;2025-05-15;H001PRED
16395,000000000000000000;0;2025-05-15;calidad del aire de piscina RD 742/2013 (NOCHE);HOSPITAL DE COSLADA;H001PREVL;PIVAS;VASO;Validada Gestor;No Urgente;Sin Asignar;H001-FUL;H001_FULAS;H001;H001PIVAS;2025-05-16;;80;41;Comunidad de Madrid;H001;2025-05-15;H001PREVL
16394,000000000000000000;0;2025-05-15;mantenimiento piscina;HOSPITAL DE COSLADA;H001PREVL;PIVAS;VASO;Validada Gestor;No Urgente;Sin Asignar;H001-FUL;H001_FULAS;H001;H001PIVAS;2025-05-16;;80;41;Comunidad de Madrid;H001;2025-05-15;H001PREVL
16393,000000000000000000;0;2025-05-15;calidad del agua de piscina RD 742/2013 (NOCHE);HOSPITAL DE COSLADA;H001PREVL;PIVAS;VASO;Validada Gestor;No Urgente;Sin Asignar;H001-FUL;H001_FULAS;H001;H001PIVAS;2025-05-16;;80;41;Comunidad de Madrid;H001;2025-05-15;H001PREVL
16392,000000000000000000;0;2025-05-15;temperatura diaria acumuladores;HOSPITAL DE COSLADA;H001PREVL;FGACU;ACUMULADORES ACS;Validada Gestor;No Urgente;Sin Asignar;H001-FUL;H001_FULAS;H001;H001FGACU;2025-05-16;;80;41;Comunidad de Madrid;H001;2025-05-15;H001PREVL
16391,000000000000000000;0;2025-05-15;medición de biocida (RD 487/2022);HOSPITAL DE COSLADA;H001PREVL;ECTOR;TORRES DE REFRIGERACIÓN;Validada Gestor;No Urgente;Sin Asignar;H001-FUL;H001_FULAS;H001;H001ECTOR;2025-05-16;;80;41;Comunidad de Madrid;H001;2025-05-15;H001PREVL
16390,000000000000000000;214,20000000000000000000000000;2025-05-15;Revision BIMESTRAL CLIMATIZACION (<70 kW);LUGO NUEVO;PRV;604AAC;Climatizacion;Facturada;No Urgente;Sin Asignar;VEE01;0;IH2701;AAC;2025-06-04;FVR202518019098;90;8;Galicia;604;2025-05-15;PRV
16389,000000000000000000;0;2025-05-15;medición del agua del canal;HOSPITAL DE COSLADA;H001PREV;FGCOL003;COLECTOR AFCH CANAL ISABEL II;Validada Gestor;No Urgente;Sin Asignar;H001-FUL;H001_FULAS;H001;H001FGCOL;2025-05-16;;80;41;Comunidad de Madrid;H001;2025-05-15;H001PREV
16388,000000000000000000;;2025-05-15;2 Visita Inspección Reglamentaria Clima.;GAVA;INS;221AAC;Climatizacion;Planificada;No Urgente;Sin Asignar;INN01;0;BU0816;AAC;;;PLA;2;Cataluña;221;2025-05-15;INS
