Id;Costes (€);Inicio Real;Descripción;Nombre Centro;Tipo Trabajo;Equipo;Desc. Equipo;Desc. Estado;Urgencia;Especialidad;Contratista;Personal;Sector;Familia;Fecha cierre;Factura;Estado;Contrato;CCAA;Centro de Servicio;Fecha Planificada;Tipo de Trabajo
22498;35,7;02/08/2025;Revision MENSUAL Autocontrol Temp Calidad Agua;GIJON;PRV;061DDD;DDD y Legionella;Facturada;No Urgente;Sin Asignar;VEE01;0;LC3301;DDD;27/08/2025;FVR202518023572;90;8;Principado de Asturias;061;02/08/2025;PRV
22474;35,7;02/08/2025;Revision MENSUAL Autocontrol Temp Calidad Agua;LLODIO;PRV;901DDD;DDD y Legionella;Facturada;No Urgente;Sin Asignar;VEE01;0;JF0101;DDD;27/08/2025;FVR202518023572;90;8;País Vasco;901;02/08/2025;PRV
22473;35,7;02/08/2025;Revision MENSUAL Autocontrol Temp Calidad Agua;REINOSA;PRV;351DDD;DDD y Legionella;Facturada;No Urgente;Sin Asignar;VEE01;0;JU3902;DDD;02/09/2025;FVR202518023572;90;8;Cantabria;351;02/08/2025;PRV
22472;301,45;02/08/2025;Revision MENSUAL CLIMATIZACION  (>70 kW);MANRESA;PRV;215AAC;Climatizacion;Facturada;No Urgente;Sin Asignar;CLE01;0;BO0807;AAC;23/10/2025;42-01-00002425F;90;7;Cataluña;215;02/08/2025;PRV
22471;301,45;02/08/2025;Revision BIMESTRAL CLIMATIZACION (<70 kW);VILANOVA I LA GELTRU;PRV;210AAC;Climatizacion;Facturada;No Urgente;Sin Asignar;CLE01;0;BK0804;AAC;01/10/2025;42-01-00001825F;90;7;Cataluña;210;02/08/2025;PRV
22470;301,45;02/08/2025;Revision BIMESTRAL CLIMATIZACION (<70 kW);SANT FELIU DE LLOBREGAT;PRV;208AAC;Climatizacion;Facturada;No Urgente;Sin Asignar;CLE01;0;BI0818;AAC;15/10/2025;42-01-00002425F;90;7;Cataluña;208;02/08/2025;PRV
22468;35,7;02/08/2025;Revision MENSUAL Autocontrol Temp Calidad Agua;LUGO NUEVO;PRV;604DDD;DDD y Legionella;Facturada;No Urgente;Sin Asignar;VEE01;0;IH2701;DDD;01/09/2025;FVR202518023572;90;8;Galicia;604;02/08/2025;PRV
22467;35,7;02/08/2025;Revision MENSUAL Autocontrol Temp Calidad Agua;SANTIAGO DE COMPOSTELA;PRV;602DDD;DDD y Legionella;Facturada;No Urgente;Sin Asignar;VEE01;0;IP1503;DDD;05/09/2025;FVR202518023572;90;8;Galicia;602;02/08/2025;PRV
22466;71,4;02/08/2025;Revision MENSUAL Autocontrol Temp Calidad Agua;SANTANDER;PRV;350DDD;DDD y Legionella;Facturada;No Urgente;Sin Asignar;VEE01;0;JJ3901;DDD;02/09/2025;FVR202518023572;90;8;Cantabria;350;02/08/2025;PRV
22465;35,7;02/08/2025;Revision MENSUAL Autocontrol Temp Calidad Agua;VIGO;PRV;607DDD;DDD y Legionella;Facturada;No Urgente;Sin Asignar;VEE01;0;IM3601;DDD;08/10/2025;FVR202518027250;90;8;Galicia;607;02/08/2025;PRV
22464;35,7;02/08/2025;Revision MENSUAL Autocontrol Temp Calidad Agua;HUESCA;PRV;040DDD;DDD y Legionella;Facturada;No Urgente;Sin Asignar;VEE01;0;FC2201;DDD;25/08/2025;FVR202518023572;90;8;Aragón;040;02/08/2025;PRV
22462;301,45;02/08/2025;Revision BIMESTRAL CLIMATIZACION (<70 kW);OLOT;PRV;231AAC;Climatizacion;Facturada;No Urgente;Sin Asignar;CLE01;0;FT1704;AAC;02/09/2025;42-01-00001825F;90;7;Cataluña;231;02/08/2025;PRV
22461;301,45;02/08/2025;Revision BIMESTRAL CLIMATIZACION (<70 kW);VILAFRANCA DEL PENEDES;PRV;227AAC;Climatizacion;Facturada;No Urgente;Sin Asignar;CLE01;0;PD0833;AAC;01/10/2025;42-01-00001825F;90;7;Cataluña;227;02/08/2025;PRV
22460;301,45;02/08/2025;Revision BIMESTRAL CLIMATIZACION (<70 kW);SANT BOI DEL LLOBREGAT;PRV;226AAC;Climatizacion;Facturada;No Urgente;Sin Asignar;CLE01;0;BZ0820;AAC;25/08/2025;42-01-00001125F;90;7;Cataluña;226;02/08/2025;PRV
